id,url,name,tel,address,city,state,zip,neighborhood,built,units,stories,management,unit_no,unit_beds,unit_baths,unit_price,unit_sqft,unit_avail
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,405,0,1.0,1585.0,543,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,418,0,1.0,1605.0,551,20250901
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,415,1,1.0,1725.0,711,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,214,1,1.0,1735.0,732,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,503,1,1.0,1800.0,713,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,403,1,1.0,1800.0,713,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,404,1,1.0,1810.0,718,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,515,1,1.0,1855.0,711,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,513,1,1.0,1900.0,728,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,219,1,1.0,1625.0,717,20250601
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,414,1,1.0,1830.0,732,20250701
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,517,1,1.0,1870.0,716,20250701
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,210,1,1.0,1670.0,705,20250801
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,217,1,1.0,1700.0,716,20250801
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,310,1,1.0,1735.0,705,20250801
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,315,1,1.0,1750.0,711,20250901
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,411,1,1.0,2325.0,981,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,511,1,1.0,2425.0,981,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,208,2,2.0,2350.0,1024,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,201,2,2.0,2400.0,1067,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,306,2,2.0,2505.0,1098,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,406,2,2.0,2565.0,1098,20250517
wkrbkgk,https://www.apartments.com/the-fitzgerald-madison-wi/wkrbkgk/,The Fitzgerald,608-571-1931,3914 Monona Dr,Madison,WI,53716,,2023.0,69,5,prime urban properties,402,2,2.0,2590.0,1096,20250517
